experiment,variation,file_name,problem_id,file_idx,correct,correct_majvote
exp_2,disc_exp_2_numbers_variation_1,problem-0.json,0.0,0.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-1.json,1.0,1.0,False,True
exp_2,disc_exp_2_numbers_variation_1,problem-10.json,10.0,10.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-11.json,11.0,11.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-12.json,12.0,12.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-13.json,13.0,13.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-14.json,14.0,14.0,False,False
exp_2,disc_exp_2_numbers_variation_1,problem-15.json,15.0,15.0,False,False
exp_2,disc_exp_2_numbers_variation_1,problem-16.json,16.0,16.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-17.json,17.0,17.0,True,False
exp_2,disc_exp_2_numbers_variation_1,problem-18.json,18.0,18.0,False,False
exp_2,disc_exp_2_numbers_variation_1,problem-19.json,19.0,19.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-2.json,2.0,2.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-3.json,3.0,3.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-4.json,4.0,4.0,False,True
exp_2,disc_exp_2_numbers_variation_1,problem-5.json,5.0,5.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-6.json,6.0,6.0,True,True
exp_2,disc_exp_2_numbers_variation_1,problem-7.json,7.0,7.0,False,False
exp_2,disc_exp_2_numbers_variation_1,problem-8.json,8.0,8.0,False,False
exp_2,disc_exp_2_numbers_variation_1,problem-9.json,9.0,9.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-0.json,0.0,0.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-1.json,1.0,1.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-10.json,10.0,10.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-11.json,11.0,11.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-12.json,12.0,12.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-13.json,13.0,13.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-14.json,14.0,14.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-15.json,15.0,15.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-16.json,16.0,16.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-17.json,17.0,17.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-18.json,18.0,18.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-19.json,19.0,19.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-2.json,2.0,2.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-3.json,3.0,3.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-4.json,4.0,4.0,False,True
exp_2,disc_exp_2_numbers_variation_2,problem-5.json,5.0,5.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-6.json,6.0,6.0,True,True
exp_2,disc_exp_2_numbers_variation_2,problem-7.json,7.0,7.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-8.json,8.0,8.0,False,False
exp_2,disc_exp_2_numbers_variation_2,problem-9.json,9.0,9.0,False,False
exp_2,disc_exp_2_numbers_variation_3,problem-0.json,0.0,0.0,True,True
